0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
9,30,30,30,31,30,31,30,30,30,30,30,30,30,30,31,30,30,30,30,30,30,31,30,30,30,30,11
9,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11
9,28,28,28,3,19,4,28,28,28,29,29,28,28,28,28,27,28,28,28,28,3,19,4,28,27,28,11
9,28,28,28,12,5,13,28,28,28,28,29,28,28,28,28,28,28,28,28,28,12,5,13,28,28,28,11
9,27,28,28,34,14,36,28,28,28,28,28,28,28,28,28,28,28,27,28,28,34,14,36,28,28,28,11
9,28,28,28,30,23,30,28,28,28,3,19,19,19,19,4,28,28,28,28,28,31,23,30,28,28,28,11
9,28,28,28,28,28,28,28,28,28,11,17,17,37,37,18,19,19,4,28,28,28,28,28,28,28,28,11
9,28,28,28,28,28,27,28,28,28,12,1,1,1,1,1,2,37,9,28,28,28,29,28,28,28,28,11
9,28,28,28,29,28,28,28,28,28,34,16,10,21,21,10,11,8,9,28,28,28,29,29,28,28,28,11
9,28,28,28,29,29,28,28,28,28,30,25,30,31,31,30,12,1,13,28,28,28,28,29,28,28,28,11
9,28,27,28,28,29,28,28,28,29,28,28,28,27,28,28,34,22,36,28,29,28,28,28,28,28,28,11
9,28,28,28,28,28,28,28,28,29,29,28,28,28,28,28,30,31,30,28,29,29,28,28,27,28,28,11
9,28,28,28,28,27,28,28,28,28,29,28,28,28,28,28,28,27,28,28,28,29,28,28,28,28,28,11
9,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11
18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20
